USA,2965499
Brazil,2778709
India,2467252
Russia,779747
South Africa,516494
Peru,407301
Mexico,389124
Colombia,384171
Chile,374463
Iran,313058
Saudi Arabia,283932
Pakistan,278425
Argentina,256776
Turkey,238795
Germany,209287
Italy,206015
Bangladesh,186756
Iraq,153761
Spain,150376
Philippines,132396
Qatar,114318
Indonesia,112867
Canada,111694
Ecuador,94816
Kazakhstan,91089
France,85524
Israel,83013
Oman,79147
Mainland China,78909
Kuwait,73402
Belarus,69097
Egypt,66817
Panama,62185
Dominican Republic,60670
United Arab Emirates,58754
Guatemala,56778
Singapore,54164
Ukraine,52870
Japan,50431
Bolivia,47050
Bahrain,45981
Poland,42784
Ghana,41532
Portugal,41021
Nigeria,38945
Kyrgyzstan,36397
Morocco,36343
Armenia,35991
Uzbekistan,35869
Romania,35816
Switzerland,34400
Azerbaijan,32993
Venezuela,29966
Algeria,29369
Afghanistan,28440
Ireland,24000
Moldova,23262
Serbia,22299
Austria,21888
Australia,19809
Nepal,19119
Kenya,18895
Belgium,18204
Cameroon,17065
Czech Republic,16650
Cote d'Ivoire,15301
Ethiopia,14995
Denmark,14465
South Korea,14286
Madagascar,13355
Costa Rica,12758
El Salvador,12717
Palestine,11843
Bosnia and Herzegovina,11329
Bulgaria,10338
North Macedonia,10210
Zambia,10062
Norway,9150
Malaysia,8971
Democratic Republic of the Congo,8934
Honduras,8556
Kosovo,8505
Senegal,8455
French Guiana,8054
Paraguay,7649
Guinea,7648
Finland,7100
Tajikistan,7040
Luxembourg,6903
Gabon,6734
Sudan,6497
Mauritania,6051
Croatia,5801
Haiti,5447
Djibouti,5211
Zimbabwe,4872
Albania,4413
Maldives,4282
Hong Kong,3974
Hungary,3716
Lebanon,3625
Thailand,3229
Montenegro,3035
Malawi,3012
Mayotte,2964
Nicaragua,2913
Sri Lanka,2805
Cuba,2794
Suriname,2758
Namibia,2732
eSwatini,2587
Cabo Verde,2390
Somalia,2374
Equatorial Guinea,2182
Slovenia,2052
Estonia,2038
Mali,1990
Slovakia,1980
Iceland,1953
Lithuania,1785
Central African Republic,1755
Benin,1690
Rwanda,1683
Republic of the Congo,1625
Sierra Leone,1569
Tunisia,1370
Uruguay,1295
Mozambique,1245
Jordan,1243
New Zealand,1188
South Sudan,1175
Uganda,1165
Latvia,1093
Georgia,1092
Yemen,1086
Libya,1085
Niger,1083
Burkina Faso,1034
Guinea-Bissau,1015
Andorra,875
Cyprus,870
Chad,870
São Tomé and Príncipe,831
Angola,818
Jamaica,817
Togo,810
Liberia,803
Malta,766
San Marino,657
Japan (Diamond Princess),653
Bahamas,634
Vietnam,588
Aruba,565
Guyana,510
Syria,505
Gambia,490
Lesotho,472
Reunion,472
Taiwan,450
Comoros,396
Myanmar,341
Faroe Islands,337
Burundi,336
Mauritius,334
Isle of Man,312
Mongolia,272
Cambodia,263
Eritrea,261
Guernsey,238
Papua New Guinea,232
Cayman Islands,202
Gibraltar,195
Tanzania,183
Trinidad and Tobago,165
French Polynesia,148
Sint Maarten,147
Bermuda,147
Brunei,139
Barbados,132
Seychelles,126
Botswana,120
Bhutan,117
Monaco,114
Turks and Caicos Islands,103
Liechtenstein,90
Antigua and Barbuda,89
Saint Vincent and the Grenadines,55
Saint Martin,49
Macau,46
Belize,45
Curacao,34
Timor-Leste,25
Saint Lucia,25
Fiji,23
Grenada,23
New Caledonia,23
Laos,20
Dominica,18
Saint Kitts and Nevis,17
Greenland,14
Falkland Islands (Islas Malvinas),13
Montserrat,12
Vatican City,12
British Virgin Islands,8
Saint Barthelemy,6
Anguilla,3
Saint Pierre and Miquelon,1
United Kingdom,-1
Sweden,-1
Netherlands,-1
Jersey,-1
Guadeloupe,-1
Martinique,-1
Greece,-1
