USA,784905
Brazil,657631
India,704890
Spain,95881
Russia,86845
Peru,131804
Colombia,149913
France,48428
Mexico,92811
Bangladesh,44602
Argentina,86712
South Africa,73621
Philippines,61730
Bolivia,22125
Belgium,9211
Ukraine,29033
Iraq,51590
Honduras,9280
Romania,20477
Indonesia,35335
Kazakhstan,20588
Iran,29404
Dominican Republic,14551
Ethiopia,20035
Egypt,2690
Panama,14480
Saudi Arabia,22114
Costa Rica,11922
Israel,21203
Italy,10997
Germany,18454
Poland,12106
Turkey,16236
Morocco,15989
Chile,15564
Nepal,10620
Palestine,7833
Kenya,7202
Portugal,3629
Nigeria,6715
El Salvador,5081
Japan,11494
Algeria,7516
Libya,5407
Moldova,6703
Lebanon,6703
Venezuela,9269
Guatemala,9144
Pakistan,9031
United Arab Emirates,5523
Afghanistan,1054
Serbia,3250
Kuwait,7652
Ecuador,7151
Bosnia and Herzegovina,4258
Armenia,3164
Kyrgyzstan,5162
Paraguay,5734
Sudan,1032
Czech Republic,4321
Canada,4870
Oman,4307
Australia,4719
Bulgaria,2315
Senegal,2013
Albania,2315
Switzerland,3582
Bahrain,3553
Kosovo,2738
Uzbekistan,3488
Namibia,3233
South Korea,3349
Austria,3085
North Macedonia,2152
Qatar,2986
Central African Republic,57
Equatorial Guinea,438
Maldives,2053
Haiti,551
Ireland,1579
Croatia,2337
Malawi,962
Singapore,2087
Mozambique,1129
Republic of the Congo,249
Cote d'Ivoire,1017
Gambia,1446
Azerbaijan,1914
Ghana,1827
Syria,1101
Gabon,621
Rwanda,1209
Cameroon,1057
Tunisia,1215
Botswana,788
Slovakia,903
Denmark,1392
Guinea,1276
eSwatini,828
Angola,651
South Sudan,75
Montenegro,876
Nicaragua,322
Tajikistan,623
Uganda,1089
Bahamas,965
Cabo Verde,752
Guinea-Bissau,90
Aruba,1068
Zimbabwe,1043
Norway,767
Belarus,978
Trinidad and Tobago,828
Malta,634
Hungary,534
Madagascar,869
Cuba,733
Lithuania,468
Suriname,814
Zambia,806
Somalia,52
Reunion,564
Luxembourg,767
French Guiana,734
Mauritania,442
Jamaica,537
Belize,562
Democratic Republic of the Congo,501
Hong Kong,607
Mali,148
Cyprus,226
Lesotho,333
Finland,406
Slovenia,460
Guyana,488
Togo,267
Vietnam,243
Liberia,58
Benin,178
Jordan,376
Sierra Leone,104
Mainland China,29
Tanzania,0
Yemen,124
Turks and Caicos Islands,191
Sint Maarten,223
Georgia,118
Burkina Faso,141
Mayotte,191
French Polynesia,224
Latvia,61
Uruguay,192
Estonia,153
Malaysia,189
Papua New Guinea,165
Sri Lanka,101
Andorra,111
New Zealand,123
Myanmar,117
Saint Martin,104
Thailand,65
Iceland,114
Djibouti,93
Burundi,34
Faroe Islands,73
Gibraltar,48
São Tomé and Príncipe,24
Japan (Diamond Princess),0
Eritrea,27
Chad,41
Bhutan,39
Taiwan,11
Monaco,15
San Marino,10
Mongolia,9
Barbados,22
Niger,20
Comoros,14
Curacao,12
British Virgin Islands,12
Bermuda,10
Cambodia,10
Liechtenstein,10
Saint Barthelemy,2
Seychelles,6
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,3
Fiji,2
Mauritius,2
Cayman Islands,2
Antigua and Barbuda,2
Laos,2
Dominica,2
Guernsey,0
Brunei,1
Timor-Leste,1
Saint Lucia,1
Grenada,1
Isle of Man,0
Macau,0
New Caledonia,0
Saint Kitts and Nevis,0
Greenland,0
Falkland Islands (Islas Malvinas),0
Montserrat,0
Vatican City,0
Anguilla,0
United Kingdom,16594
Sweden,4630
Netherlands,8455
Jersey,20
Guadeloupe,499
Martinique,142
Greece,3381
